plan_id,plan_name,level,week,day_offset,day_name,session_type,planned_distance_km,planned_duration_min,notes
10k_beg,10K - Beginner,Beginner,6,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,6,5,Sat,Run - easy,2.2,16,Short easy run
10k_beg,10K - Beginner,Beginner,6,6,Sun,Long run,7.5,56,"Weekend long run - go slow, this builds endurance"
10k_beg,10K - Beginner,Beginner,7,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,7,1,Tue,Run - easy,3.4,26,Easy conversational pace
10k_beg,10K - Beginner,Beginner,7,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,7,3,Thu,Run - easy,3.4,26,Easy conversational pace
10k_beg,10K - Beginner,Beginner,7,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,7,5,Sat,Run - easy,2.3,17,Short easy run
10k_beg,10K - Beginner,Beginner,7,6,Sun,Long run,4.9,37,"Weekend long run - go slow, this builds endurance"
10k_beg,10K - Beginner,Beginner,8,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,8,1,Tue,Run - easy,3.4,26,Easy conversational pace
10k_beg,10K - Beginner,Beginner,8,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,8,3,Thu,Run - easy,3.4,26,Easy conversational pace
10k_beg,10K - Beginner,Beginner,8,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,8,5,Sat,Run - easy,2.3,17,Short easy run
10k_beg,10K - Beginner,Beginner,8,6,Sun,RACE DAY,10,75,Race day!
10k_int,10K - Intermediate,Intermediate,1,0,Mon,Run - easy,4.0,26,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,1,1,Tue,Run - speed/intervals,5.0,32,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,1,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,1,3,Thu,Run - tempo,6.0,39,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,1,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,1,5,Sat,Run - easy,3.0,20,Easy pace
10k_int,10K - Intermediate,Intermediate,1,6,Sun,Long run,5.0,32,"Weekend long run, steady effort"
10k_int,10K - Intermediate,Intermediate,2,0,Mon,Run - easy,4.1,27,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,2,1,Tue,Run - speed/intervals,5.1,33,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,2,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,2,3,Thu,Run - tempo,6.1,40,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,2,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,2,5,Sat,Run - easy,3.1,20,Easy pace
10k_int,10K - Intermediate,Intermediate,2,6,Sun,Long run,5.8,38,"Weekend long run, steady effort"
10k_int,10K - Intermediate,Intermediate,3,0,Mon,Run - easy,4.2,27,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,3,1,Tue,Run - speed/intervals,5.1,33,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,3,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,3,3,Thu,Run - tempo,6.1,40,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,3,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,3,5,Sat,Run - easy,3.1,20,Easy pace
10k_int,10K - Intermediate,Intermediate,3,6,Sun,Long run,6.6,43,"Weekend long run, steady effort"
10k_int,10K - Intermediate,Intermediate,4,0,Mon,Run - easy,4.2,27,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,4,1,Tue,Run - speed/intervals,5.1,33,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,4,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,4,3,Thu,Run - tempo,6.2,40,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,4,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,4,5,Sat,Run - easy,3.2,21,Easy pace
10k_int,10K - Intermediate,Intermediate,4,6,Sun,Long run,4.9,32,"Weekend long run, steady effort"
10k_int,10K - Intermediate,Intermediate,5,0,Mon,Run - easy,4.2,27,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,5,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,5,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,5,3,Thu,Run - tempo,6.2,40,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,5,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,5,5,Sat,Run - easy,3.2,21,Easy pace
10k_int,10K - Intermediate,Intermediate,5,6,Sun,Long run,8.2,53,"Weekend long run, steady effort"
10k_int,10K - Intermediate,Intermediate,6,0,Mon,Run - easy,4.3,28,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,6,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,6,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,6,3,Thu,Run - tempo,6.2,40,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,6,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,6,5,Sat,Run - easy,3.3,21,Easy pace
10k_int,10K - Intermediate,Intermediate,6,6,Sun,Long run,9.0,58,"Weekend long run, steady effort"
10k_int,10K - Intermediate,Intermediate,7,0,Mon,Run - easy,4.3,28,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,7,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,7,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,7,3,Thu,Run - tempo,6.3,41,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,7,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,7,5,Sat,Run - easy,3.4,22,Easy pace
10k_int,10K - Intermediate,Intermediate,7,6,Sun,Long run,5.9,38,"Weekend long run, steady effort"
10k_int,10K - Intermediate,Intermediate,8,0,Mon,Run - easy,4.4,29,Easy recovery pace
10k_int,10K - Intermediate,Intermediate,8,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
10k_int,10K - Intermediate,Intermediate,8,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
10k_int,10K - Intermediate,Intermediate,8,3,Thu,Run - tempo,6.3,41,"Comfortably hard, sustained effort"
10k_int,10K - Intermediate,Intermediate,8,4,Fri,Rest,,,
10k_int,10K - Intermediate,Intermediate,8,5,Sat,Run - easy,3.4,22,Easy pace
10k_int,10K - Intermediate,Intermediate,8,6,Sun,RACE DAY,10,65,Race day!
half_beg,Half Marathon - Beginner,Beginner,1,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,1,1,Tue,Run - easy,3.0,22,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,1,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,1,3,Thu,Run - easy,3.0,22,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,1,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,1,5,Sat,Run - easy,2.0,15,Short easy run
half_beg,Half Marathon - Beginner,Beginner,1,6,Sun,Long run,6.0,45,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,2,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,2,1,Tue,Run - easy,3.1,23,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,2,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,2,3,Thu,Run - easy,3.1,23,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,2,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,2,5,Sat,Run - easy,2.1,16,Short easy run
half_beg,Half Marathon - Beginner,Beginner,2,6,Sun,Long run,7.2,54,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,3,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,3,1,Tue,Run - easy,3.1,23,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,3,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,3,3,Thu,Run - easy,3.1,23,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,3,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,3,5,Sat,Run - easy,2.1,16,Short easy run
half_beg,Half Marathon - Beginner,Beginner,3,6,Sun,Long run,8.5,64,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,4,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,4,1,Tue,Run - easy,3.2,24,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,4,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,4,3,Thu,Run - easy,3.2,24,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,4,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,4,5,Sat,Run - easy,2.2,16,Short easy run
half_beg,Half Marathon - Beginner,Beginner,4,6,Sun,Long run,6.4,48,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,5,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,5,1,Tue,Run - easy,3.2,24,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,5,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,5,3,Thu,Run - easy,3.2,24,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,5,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,5,5,Sat,Run - easy,2.2,16,Short easy run
half_beg,Half Marathon - Beginner,Beginner,5,6,Sun,Long run,11.0,82,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,6,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,6,1,Tue,Run - easy,3.3,25,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,6,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,6,3,Thu,Run - easy,3.3,25,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,6,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,6,5,Sat,Run - easy,2.2,16,Short easy run
half_beg,Half Marathon - Beginner,Beginner,6,6,Sun,Long run,12.2,92,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,7,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,7,1,Tue,Run - easy,3.4,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,7,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,7,3,Thu,Run - easy,3.4,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,7,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,7,5,Sat,Run - easy,2.3,17,Short easy run
half_beg,Half Marathon - Beginner,Beginner,7,6,Sun,Long run,13.5,101,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,8,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,8,1,Tue,Run - easy,3.4,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,8,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,8,3,Thu,Run - easy,3.4,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,8,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,8,5,Sat,Run - easy,2.3,17,Short easy run
half_beg,Half Marathon - Beginner,Beginner,8,6,Sun,Long run,10.1,76,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,9,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,9,1,Tue,Run - easy,3.5,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,9,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,9,3,Thu,Run - easy,3.5,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,9,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,9,5,Sat,Run - easy,2.4,18,Short easy run
half_beg,Half Marathon - Beginner,Beginner,9,6,Sun,Long run,16.0,120,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,10,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,10,1,Tue,Run - easy,3.5,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,10,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,10,3,Thu,Run - easy,3.5,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,10,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,10,5,Sat,Run - easy,2.4,18,Short easy run
half_beg,Half Marathon - Beginner,Beginner,10,6,Sun,Long run,10.4,78,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,11,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,11,1,Tue,Run - easy,3.5,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,11,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,11,3,Thu,Run - easy,3.5,26,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,11,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,11,5,Sat,Run - easy,2.4,18,Short easy run
half_beg,Half Marathon - Beginner,Beginner,11,6,Sun,Long run,7.2,54,"Weekend long run - go slow, this builds endurance"
half_beg,Half Marathon - Beginner,Beginner,12,0,Mon,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,12,1,Tue,Run - easy,3.6,27,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,12,2,Wed,Cross-training / rest,,30,Optional light cross-training
half_beg,Half Marathon - Beginner,Beginner,12,3,Thu,Run - easy,3.6,27,Easy conversational pace
half_beg,Half Marathon - Beginner,Beginner,12,4,Fri,Rest,,,
half_beg,Half Marathon - Beginner,Beginner,12,5,Sat,Run - easy,2.5,19,Short easy run
half_beg,Half Marathon - Beginner,Beginner,12,6,Sun,RACE DAY,21.1,158,Race day!
half_int,Half Marathon - Intermediate,Intermediate,1,0,Mon,Run - easy,4.0,26,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,1,1,Tue,Run - speed/intervals,5.0,32,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,1,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,1,3,Thu,Run - tempo,6.0,39,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,1,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,1,5,Sat,Run - easy,3.0,20,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,1,6,Sun,Long run,8.0,52,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,2,0,Mon,Run - easy,4.1,27,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,2,1,Tue,Run - speed/intervals,5.1,33,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,2,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,2,3,Thu,Run - tempo,6.1,40,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,2,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,2,5,Sat,Run - easy,3.1,20,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,2,6,Sun,Long run,9.4,61,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,3,0,Mon,Run - easy,4.2,27,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,3,1,Tue,Run - speed/intervals,5.1,33,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,3,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,3,3,Thu,Run - tempo,6.1,40,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,3,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,3,5,Sat,Run - easy,3.1,20,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,3,6,Sun,Long run,10.9,71,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,4,0,Mon,Run - easy,4.2,27,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,4,1,Tue,Run - speed/intervals,5.1,33,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,4,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,4,3,Thu,Run - tempo,6.2,40,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,4,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,4,5,Sat,Run - easy,3.2,21,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,4,6,Sun,Long run,8.2,53,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,5,0,Mon,Run - easy,4.2,27,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,5,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,5,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,5,3,Thu,Run - tempo,6.2,40,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,5,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,5,5,Sat,Run - easy,3.2,21,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,5,6,Sun,Long run,13.7,89,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,6,0,Mon,Run - easy,4.3,28,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,6,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,6,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,6,3,Thu,Run - tempo,6.2,40,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,6,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,6,5,Sat,Run - easy,3.3,21,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,6,6,Sun,Long run,15.1,98,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,7,0,Mon,Run - easy,4.3,28,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,7,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,7,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,7,3,Thu,Run - tempo,6.3,41,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,7,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,7,5,Sat,Run - easy,3.4,22,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,7,6,Sun,Long run,16.6,108,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,8,0,Mon,Run - easy,4.4,29,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,8,1,Tue,Run - speed/intervals,5.2,34,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,8,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,8,3,Thu,Run - tempo,6.3,41,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,8,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,8,5,Sat,Run - easy,3.4,22,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,8,6,Sun,Long run,12.5,81,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,9,0,Mon,Run - easy,4.5,29,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,9,1,Tue,Run - speed/intervals,5.3,34,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,9,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,9,3,Thu,Run - tempo,6.4,42,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,9,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,9,5,Sat,Run - easy,3.5,23,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,9,6,Sun,Long run,11.7,76,"Weekend long run, steady effort"
half_int,Half Marathon - Intermediate,Intermediate,10,0,Mon,Run - easy,4.5,29,Easy recovery pace
half_int,Half Marathon - Intermediate,Intermediate,10,1,Tue,Run - speed/intervals,5.3,34,Intervals or hill repeats
half_int,Half Marathon - Intermediate,Intermediate,10,2,Wed,Cross-training,,40,Bike/swim/strength - active recovery
half_int,Half Marathon - Intermediate,Intermediate,10,3,Thu,Run - tempo,6.4,42,"Comfortably hard, sustained effort"
half_int,Half Marathon - Intermediate,Intermediate,10,4,Fri,Rest,,,
half_int,Half Marathon - Intermediate,Intermediate,10,5,Sat,Run - easy,3.5,23,Easy pace
half_int,Half Marathon - Intermediate,Intermediate,10,6,Sun,RACE DAY,21.1,137,Race day!
marathon_beg,Marathon - Beginner,Beginner,1,0,Mon,Rest,,,
marathon_beg,Marathon - Beginner,Beginner,1,1,Tue,Run - easy,3.0,22,Easy conversational pace
marathon_beg,Marathon - Beginner,Beginner,1,2,Wed,Cross-training / rest,,30,Optional light cross-training
marathon_beg,Marathon - Beginner,Beginner,1,3,Thu,Run - easy,3.0,22,Easy conversational pace
marathon_beg,Marathon - Beginner,Beginner,1,4,Fri,Rest,,,
marathon_beg,Marathon - Beginner,Beginner,1,5,Sat,Run - easy,2.0,15,Short easy run
marathon_beg,Marathon - Beginner,Beginner,1,6,Sun,Long run,10.0,75,"Weekend long run - go slow, this builds endurance"
marathon_beg,Marathon - Beginner,Beginner,2,0,Mon,Rest,,,
marathon_beg,Marathon - Beginner,Beginner,2,1,Tue,Run - easy,3.1,23,Easy conversational pace
marathon_beg,Marathon - Beginner,Beginner,2,2,Wed,Cross-training / rest,,30,Optional light cross-training
marathon_beg,Marathon - Beginner,Beginner,2,3,Thu,Run - easy,3.1,23,Easy conversational pace
marathon_beg,Marathon - Beginner,Beginner,2,4,Fri,Rest,,,
marathon_beg,Marathon - Beginner,Beginner,2,5,Sat,Run - easy,2.1,16,Short easy run
marathon_beg,Marathon - Beginner,Beginner,2,6,Sun,Long run,11.7,88,"Weekend long run - go slow, this builds endurance"
marathon_beg,Marathon - Beginner,Beginner,3,0,Mon,Rest,,,
marathon_beg,Marathon - Beginner,Beginner,3,1,Tue,Run - easy,3.1,23,Easy conversational pace
marathon_beg,Marathon - Beginner,Beginner,3,2,Wed,Cross-training / rest,,30,Optional light cross-training
marathon_beg,Marathon - Beginner,Beginner,3,3,Thu,Run - easy,3.1,23,Easy conversational pace
marathon_beg,Marathon - Beginner,Beginner,3,4,Fri,Rest,,,
marathon_beg,Marathon - Beginner,Beginner,3,5,Sat,Run - easy,2.1,16,Short easy run
